"Total installed capacity 2","123,003,404","124,348,252","125,334,419","129,616,033","130,528,482","130,671,821","..","130,922,302","135,088,014","141,396,648","144,375,482","145,213,838","145,304,155","145,537,767","145,960,899","149,530,514","151,706,681","152,943,887"
"Hydraulic turbine 3","72,644,118","73,442,973","74,371,981","74,673,138","75,062,499","75,403,484","..","76,520,368","78,570,149","79,213,900","80,448,736","80,763,622","81,394,893","81,400,050","81,364,217","82,240,115","82,875,996","83,019,396"
"Wind power turbine 4","1,470,499","1,824,349","2,228,609","3,026,259","3,972,559","4,476,709","..","6,716,982","8,495,912","11,128,205","11,974,153","12,402,715","12,961,924","13,021,597","13,173,567","14,316,369","15,505,302","16,064,802"
"Solar power 5","..","0","..","..","108,400","143,612","..","171,112","264,659","1,874,745","2,085,908","2,297,863","1,463,167","1,415,059","1,827,480","2,231,434","3,194,398","3,730,704"
"Geothermal","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","6,000"
"Total thermal","48,885,087","49,060,930","48,713,829","51,896,636","51,365,024","50,628,016","..","47,493,840","47,737,294","49,159,798","49,846,685","49,729,638","49,463,671","49,680,561","49,595,135","50,741,846","50,130,985","50,122,985"
"Conventional steam turbine 6","25,768,798","25,987,248","25,910,768","27,142,193","25,491,031","24,732,978","..","20,589,158","21,068,218","21,293,778","21,469,335","21,295,779","20,925,270","20,728,474","20,716,174","20,557,050","20,121,557","20,113,557"
"Nuclear steam turbine 7","13,345,000","13,345,000","13,345,000","12,665,000","12,665,000","13,345,000","..","14,033,000","14,033,000","14,033,000","14,033,000","14,033,000","14,033,000","14,101,000","14,101,000","14,503,000","14,503,000","14,503,000"
"Combustion turbine 8","9,160,533","8,988,238","8,710,726","11,291,696","12,406,238","11,746,501","..","11,949,596","11,692,141","12,724,685","13,167,708","13,205,566","13,264,834","13,656,257","13,601,877","14,493,067","14,436,217","14,436,217"
"Internal combustion turbine 9","610,756","740,444","747,335","797,747","802,755","803,537","..","922,086","943,935","1,108,335","1,176,642","1,195,293","1,240,567","1,194,830","1,176,084","1,188,729","1,070,211","1,070,211"
